Parent and Person SubClassOf Father, True
Can Parent be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandMother that is also Person that is also Sibling that is also Son that is also Woman that is also Thing'?, \nFalse
Can Parent be considered a subcategory of 'Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Man that is also Person that is also Sibling that is also Son that is also Woman that is also Thing'?, \nFalse
Can Parent be considered a subcategory of 'Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Mother that is also Person that is also Sibling that is also Son that is also Woman that is also Thing'?, \nFalse
Can Parent be considered a subcategory of 'Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also GrandParent that is also Person that is also Sibling that is also Son that is also Woman that is also Thing'?, \nFalse
Can Parent be considered a subcategory of 'Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Person that is also Sex that is also Sibling that is also Son that is also Woman that is also Thing'?, \nTrue
Can Parent be considered a subcategory of 'Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing'?, \nFalse
Can Parent be considered a subcategory of 'Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also OffSpring that is also Person that is also Sex that is also Sibling that is also Son that is also Woman that is also Thing'?, \nTrue
Can Parent be considered a subcategory of 'Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also OffSpring that is also Person that is also Sex that is also Sibling that is also Son that is also Woman that is also Thing'?, \nFalse
Can Parent be considered a subcategory of 'Brother that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also OffSpring that is also Person that is also Sex that is also Sibling that is also Son that is also Woman that is also Thing'?, \nTrue
Can Female that is also GrandMother be considered a subcategory of 'Daughter'?, True
Can Female that is also GrandMother be considered a subcategory of 'Son'?, True.
Can GrandMother be considered a subcategory of 'Son'?, True
Can GrandMother be considered a subcategory of 'Thing'?, True
Can GrandMother be considered a subcategory of 'Son that is also Thing'?, True.
Can GrandMother be considered a subcategory of 'Female'?, True
Can GrandMother be considered a subcategory of 'Female that is also Son that is also Thing'?, True.
Can GrandMother be considered a subcategory of 'Father'?, True
Can GrandMother be considered a subcategory of 'Father that is also Female that is also Son that is also Thing'?, \nFalse
Can GrandMother be considered a subcategory of 'Child'?, True
Can GrandMother be considered a subcategory of 'Child that is also Female that is also Son that is also Thing'?, True
Can GrandMother be considered a subcategory of 'Person'?, True
Can GrandMother be considered a subcategory of 'Child that is also Female that is also Person that is also Son that is also Thing'?, True
Can GrandMother be considered a subcategory of 'Brother'?, True
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Female that is also Person that is also Son that is also Thing'?, \nFalse
Can GrandMother be considered a subcategory of 'Parent'?, True
Can GrandMother be considered a subcategory of 'Child that is also Female that is also Parent that is also Person that is also Son that is also Thing'?, \nFalse
Can GrandMother be considered a subcategory of 'Daughter'?, True
Can GrandMother be considered a subcategory of 'Child that is also Daughter that is also Female that is also Person that is also Son that is also Thing'?, \nTrue
Can GrandMother be considered a subcategory of 'Man'?, False.
Can GrandMother be considered a subcategory of 'Mother'?, True
Can GrandMother be considered a subcategory of 'Child that is also Daughter that is also Female that is also Mother that is also Person that is also Son that is also Thing'?, \nFalse
Can GrandMother be considered a subcategory of 'GrandParent'?, True
Can GrandMother be considered a subcategory of 'Child that is also Daughter that is also Female that is also GrandParent that is also Person that is also Son that is also Thing'?, \nFalse
Can GrandMother be considered a subcategory of 'Sex'?, True.
Can GrandMother be considered a subcategory of 'Child that is also Daughter that is also Female that is also Person that is also Sex that is also Son that is also Thing'?, \nFalse
Can GrandMother be considered a subcategory of 'Sister'?, True
Can GrandMother be considered a subcategory of 'Child that is also Daughter that is also Female that is also Person that is also Sister that is also Son that is also Thing'?, True
Can GrandMother be considered a subcategory of 'OffSpring'?, True
Can GrandMother be considered a subcategory of 'Child that is also Daughter that is also Female that is also OffSpring that is also Person that is also Sister that is also Son that is also Thing'?, \nFalse
Can GrandMother be considered a subcategory of 'Woman'?, True
Can GrandMother be considered a subcategory of 'Child that is also Daughter that is also Female that is also Person that is also Sister that is also Son that is also Woman that is also Thing'?, True
Can GrandMother be considered a subcategory of 'Male'?, True
Can GrandMother be considered a subcategory of 'Child that is also Daughter that is also Female that is also Male that is also Person that is also Sister that is also Son that is also Woman that is also Thing'?, \nFalse
Can GrandMother be considered a subcategory of 'Sibling'?, True
Can GrandMother be considered a subcategory of 'Child that is also Daughter that is also Female that is also Person that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing'?, \nTrue
